timestamp,model,provider,task_type,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,total_tokens,cost_usd,accuracy_score,tenant_id,is_failover
2026-01-21T17:40:19.957314,gemini-flash-latest,gemini,general,719,19,0,0,738,9.7e-05,,system,False
2026-01-21T17:40:19.958958,gemini-flash-latest,gemini,general,719,19,0,0,738,9.7e-05,,system,False
2026-01-21T17:40:23.819436,gemini-flash-latest,gemini,general,796,192,0,0,988,0.000171,,system,False
2026-01-21T17:40:23.820440,gemini-flash-latest,gemini,general,796,192,0,0,988,0.000171,,system,False
2026-01-21T17:40:23.822305,gemini-flash-latest,gemini,general,671,368,0,0,1039,0.000222,,system,False
2026-01-21T17:40:23.822351,gemini-flash-latest,gemini,general,671,368,0,0,1039,0.000222,,system,False
2026-01-21T17:41:44.537639,gemini-flash-latest,gemini,general,796,205,0,0,1001,0.000176,,system,False
2026-01-21T17:41:44.540558,gemini-flash-latest,gemini,general,796,205,0,0,1001,0.000176,,system,False
2026-01-21T17:41:46.763724,gemini-flash-latest,gemini,general,365,71,0,0,436,7.2e-05,,system,False
2026-01-21T17:41:46.764010,gemini-flash-latest,gemini,general,365,71,0,0,436,7.2e-05,,system,False
2026-01-21T17:41:51.399759,gemini-flash-latest,gemini,general,1001,19,0,0,1020,0.000132,,system,False
2026-01-21T17:41:51.399925,gemini-flash-latest,gemini,general,1001,19,0,0,1020,0.000132,,system,False
2026-01-22T01:39:38.482026,claude-3-5-sonnet-20241022,claude,cache_burn_in,1220,150,1200,0,1370,0.00681,N/A,system,False
2026-01-22T01:39:38.583415,claude-3-5-sonnet-20241022,claude,cache_burn_in,1220,150,0,1200,1370,0.00267,N/A,system,False
2026-01-22T01:39:38.684809,claude-3-5-sonnet-20241022,claude,cache_burn_in,1220,150,0,1200,1370,0.00267,N/A,system,False
2026-01-22T01:39:38.786108,claude-3-5-sonnet-20241022,claude,cache_burn_in,1220,150,0,1200,1370,0.00267,N/A,system,False
2026-01-22T01:39:38.886752,claude-3-5-sonnet-20241022,claude,cache_burn_in,1220,150,0,1200,1370,0.00267,N/A,system,False
2026-01-22T01:39:38.987862,claude-3-5-sonnet-20241022,claude,cache_burn_in,1220,150,0,1200,1370,0.00267,N/A,system,False
2026-01-22T01:39:39.089132,claude-3-5-sonnet-20241022,claude,cache_burn_in,1220,150,0,1200,1370,0.00267,N/A,system,False
2026-01-22T01:39:39.190416,claude-3-5-sonnet-20241022,claude,cache_burn_in,1220,150,0,1200,1370,0.00267,N/A,system,False
2026-01-22T01:39:39.291794,claude-3-5-sonnet-20241022,claude,cache_burn_in,1220,150,0,1200,1370,0.00267,N/A,system,False
2026-01-22T01:39:39.393282,claude-3-5-sonnet-20241022,claude,cache_burn_in,1220,150,0,1200,1370,0.00267,N/A,system,False
